combo,overlap (eV)
MgCaMnFeCoNi,-0.1911
MgCaMnFeCoCu,-0.7896
MgCaMnFeCoZn,-0.0585
MgCaMnFeNiCu,-0.7896
MgCaMnFeNiZn,-0.1911
MgCaMnFeCuZn,-0.7896
MgCaMnCoNiCu,-0.6399
MgCaMnCoNiZn,-0.0414
MgCaMnCoCuZn,-0.6399
MgCaMnNiCuZn,-0.6399
MgCaFeCoNiCu,-0.7896
MgCaFeCoNiZn,-0.1911
MgCaFeCoCuZn,-0.7896
MgCaFeNiCuZn,-0.7896
MgCaCoNiCuZn,0.4363
MgMnFeCoNiCu,-0.7896
MgMnFeCoNiZn,-0.1911
MgMnFeCoCuZn,-0.7896
MgMnFeNiCuZn,-0.7896
MgMnCoNiCuZn,-0.6399
MgFeCoNiCuZn,-0.7896
CaMnFeCoNiCu,-0.7896
CaMnFeCoNiZn,-0.1911
CaMnFeCoCuZn,-0.7896
CaMnFeNiCuZn,-0.7896
CaMnCoNiCuZn,-0.6399
CaFeCoNiCuZn,-0.7896
MnFeCoNiCuZn,-0.7896
