combo,overlap_eV
"('Mg', 'Ca')",-5.998487
"('Mg', 'Mn')",-1.907835
"('Mg', 'Fe')",-0.33575500000000025
"('Mg', 'Co')",-1.1422819999999998
"('Mg', 'Ni')",-2.4174320000000002
"('Mg', 'Cu')",-1.569925
"('Mg', 'Zn')",-3.29489
"('Ca', 'Mn')",-1.907835
"('Ca', 'Fe')",-0.33575500000000025
"('Ca', 'Co')",-1.1422819999999998
"('Ca', 'Ni')",-2.4174320000000002
"('Ca', 'Cu')",-1.569925
"('Ca', 'Zn')",-3.29489
"('Mn', 'Fe')",-0.33575500000000025
"('Mn', 'Co')",-0.38632299999999997
"('Mn', 'Ni')",-0.2788310000000003
"('Mn', 'Cu')",0.5831119999999999
"('Mn', 'Zn')",-1.1418530000000002
"('Fe', 'Co')",0.08362099999999995
"('Fe', 'Ni')",0.19111299999999964
"('Fe', 'Cu')",1.0530559999999998
"('Fe', 'Zn')",-0.33575500000000025
"('Co', 'Ni')",-1.03479
"('Co', 'Cu')",-0.17284699999999997
"('Co', 'Zn')",-1.1422819999999998
"('Ni', 'Cu')",-1.5554890000000001
"('Ni', 'Zn')",-2.4174320000000002
"('Cu', 'Zn')",-1.569925
